word,yorokobi,ikari,aware,kowa,haji,suki,iya,takaburi,yasu,odoroki
disgust,0,0.5,0,0,0,0,0.1,0.2,0,0
discouragement,0,0,0.3,0.1,0,0,0.1,0,0,0
discomfiture,0,0,0.1,0.1,0,0,0.1,0,0,0
disapproval,0,0.1,0.1,0.1,0,0,0.1,0,0,0
devotion,0.1,0,0,0,0,0.5,0,0.3,0,0
despisal,0,0.1,0.1,0.1,0,0,0.1,0,0,0
despair,0,0,0.2,0.3,0.1,0,0.1,0,0,0.2
depression,0,0.1,0.2,0.2,0,0,0.1,0,0,0.1
daze,0,0,0.1,0.1,0,0,0,0.2,0,0.5
cruelty,0,0,0.1,0.5,0,0,0,0,0,0.2
coolness,0,0,0,0,0,0,0,0,0.2,0
contentment,0.2,0,0,0,0,0.1,0,0.1,0.2,0
contempt,0,0.3,0.1,0.1,0.1,0,0.1,0.1,0,0
confusion,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1
confidence,0.1,0,0,0,0,0.1,0,0,0.5,0
negative-concern,0,0,0.3,0.1,0,0,0.1,0,0,0.1
compunction,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1
compassion,0,0,0.5,0.1,0.1,0,0.1,0,0,0.1
commiseration,0,0,0.5,0.1,0.1,0,0.1,0,0,0.1
closeness,0.5,0,0,0,0,0.2,0,0,0.3,0
chagrin,0,0.2,0,0.1,0.1,0,0.1,0.1,0,0.1
captivation,0.1,0,0,0,0,0.5,0,0.1,0,0
calmness,0.2,0,0,0,0,0.1,0,0,0.5,0
benevolence,0.2,0,0,0,0,01,0,0,0.3,0
belonging,0.2,0,0,0,0,0.1,0,0,0.3,0
bang,0.1,0,0,0.1,0,0.1,0,0.2,0,0
bad-temper,0,0.5,0,0,0,0,0.1,0.2,0,0.1
awe,0,0,0.1,0.5,0,0,0,0,0,0.1
attachment,0.1,0,0,0,0,0.1,0,0,0.2,0
astonishment,0,0.1,0,0.2,0,0,0.1,0.3,0,1
love-ardor,0.1,0,0,0,0,0.1,0,0.1,0,0.1
apprehension,0,0,0.1,0.5,0,0,0.2,0.1,0,0.1
apathy,0,0,0.2,0,0,0,0.1,0,0,0
anxiety,0,0,0.2,0,0,0,0.1,0,0,0
antipathy,0,0,0.2,0,0,0,0.1,0,0,0
antagonism,0,0.2,0.1,0.2,0,0,0,0.1,0,0
annoyance,0,0.4,0.1,0,0,0,0.1,0.2,0,0.2
animosity,0,0.2,0,0.1,0,0,0,0,0,0.1
anger,0,0.5,0,0.1,0.1,0,0,0.3,0,0.1
amour-propre,0.1,0.1,0,0,0.1,0,0.1,0,0,0.1
alienation,0,0,0.5,0.2,0,0,0.1,0,0,0
alarm,0,0,0.5,0.4,0,0,0.1,0.1,0,0.1
ambiguous-agitation,0,0,0.2,0.4,0,0,0,0.1,0,0.1
affection,0.5,0,0,0,0,0.5,0,0,0.5,0
admiration,0.2,0,0,0.2,0,0.1,0,0.1,0.3,0.3
abhorrence,0,0.1,0.1,0.1,0,0,0.1,0,0,0
angst,0,0,0.2,0.2,0,0,0.1,0,0,0.1
